"Rep","Psi","PLC"
1,2,-0.146666667
1,4,1.61
1,8.001,7.76
1,9.999,9.596666667
1,12,23.20333333
1,12.999,38.53333333
1,14.001,90.28333333
2,2,-0.09
2,4,11.83
2,6,25.26333333
2,8.001,32.495
2,9.999,51.23333333
2,10.999,67.20666667
2,12,89.905
3,2,-0.03
3,4,10.54666667
3,6,20.89666667
3,8.001,23.10666667
3,9.999,29.145
3,12,56.37
3,12.999,72.16
3,14.001,80.975
3,15,96.145
4,2,-0.903333333
4,3,-0.593333333
4,5.001,-0.815
4,6.999,2.583333333
4,8.001,2.75
4,9.999,9.296666667
4,12,31.805
4,14.001,87.91
